seed,mode,channel,feature,reliable_imputer,threshold,rows,attack_rows,events,auroc,auprc,fpr,event_detected_ratio,censored_delay_mean,etap,etar,etaf1,false_alarm_seconds,n_false_alarms,original_threshold,original_auroc,original_auprc,original_etaf1,original_fpr,original_event_detected_ratio,original_censored_delay_mean,delta_auroc,delta_auprc,delta_etaf1,delta_event_detected_ratio,delta_fpr,delta_censored_delay
43,zero,5,P1_B4002,True,0.5973584055900574,401855,8947,50,0.8496413842542848,0.5029569011865239,0.0026774715709529,0.82,48.94,0.6940811776526111,0.5501651310550201,0.6138001123952692,1121,54,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.0038823233095011123,0.0020425043539440413,-0.00196542282603418,0.020000000000000018,-1.5270750404700138e-05,5.239999999999995
43,zero,6,P1_B4005,False,0.6136283278465271,401855,8947,50,0.8458750237212654,0.4997040856157519,0.0026647459456157,0.82,48.98,0.6925646636152504,0.5489468926562582,0.6124489427982028,1120,52,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.007648683842520487,0.0052953199247160465,-0.0006142532289677982,0.020000000000000018,-2.7996375741900018e-05,5.279999999999994
43,zero,7,P1_B400B,False,0.6112330555915833,401855,8947,50,0.8488237893529033,0.5021424306338008,0.0026622008205483,0.82,48.98,0.6913768476278594,0.5487251245393038,0.6118462115743645,1115,54,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.00469991821088267,0.0028569749066671424,-1.1522005129438462e-05,0.020000000000000018,-3.0541500809300095e-05,5.279999999999994
43,zero,8,P1_B4022,True,0.6007447242736816,401855,8947,50,0.8472168758412801,0.5025893254004691,0.0026774715709529,0.84,43.72,0.6899151650560884,0.5496233942507902,0.6118301232601554,1127,55,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.00630683172250579,0.0024100801399988825,4.566309079634401e-06,0.0,-1.5270750404700138e-05,0.01999999999999602
43,zero,9,P1_FCV01D,False,0.6061537265777588,401855,8947,50,0.8500881694816368,0.5015834471178409,0.0026647459456157,0.84,43.72,0.6925949471610395,0.5492578339548332,0.6126542634851012,1122,53,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.0034355380821491366,0.0034159584226270967,-0.0008195739158661786,0.0,-2.7996375741900018e-05,0.01999999999999602
43,zero,10,P1_FCV01Z,False,0.6054887771606445,401855,8947,50,0.8537597783679489,0.502507981096459,0.0026647459456157,0.82,48.98,0.6913650270865336,0.5491738407540034,0.6121204214246554,1118,55,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,-0.0002360708041629911,0.0024914244440089606,-0.00028573185542035695,0.020000000000000018,-2.7996375741900018e-05,5.279999999999994
43,zero,11,P1_FCV02D,False,0.5951802134513855,401855,8947,50,0.8535236596311186,0.5045472781283391,0.0026749264458855,0.84,43.7,0.691752593826009,0.5503840314522447,0.6130236780872924,1126,55,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,4.7932667279759755e-08,0.00045212741212885543,-0.0011889885180573767,0.0,-1.781587547209978e-05,0.0
43,zero,12,P1_FCV02Z,False,0.5972749590873718,401855,8947,50,0.8535350758554628,0.5043359619252299,0.0026876520712227,0.84,43.72,0.6888199157266933,0.5498101163845398,0.6115145737071419,1129,57,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,-1.1368291676916442e-05,0.0006634436152380685,0.0003201158620931288,0.0,-5.090250134899901e-06,0.01999999999999602
43,zero,13,P1_FCV03D,True,0.6043713688850403,401855,8947,50,0.8485650772617873,0.5016298796101324,0.0026825618210878,0.82,48.94,0.6885003931180826,0.549514557560665,0.6112058480347106,1124,56,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.004958630301998612,0.0033695259303355707,0.0006288415345244713,0.020000000000000018,-1.0180500269799803e-05,5.239999999999995
43,zero,14,P1_FCV03Z,True,0.5986995100975037,401855,8947,50,0.8495169070999788,0.5028376441198101,0.0026851069461553,0.82,49.06,0.6938147553510853,0.5495311446292868,0.6133012811234417,1126,53,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.004006800463807081,0.002161761420657826,-0.0014665915542066976,0.020000000000000018,-7.635375202299979e-06,5.359999999999999
43,zero,15,P1_LCV01D,True,0.6010791659355164,401855,8947,50,0.8536429370155456,0.5017748269129784,0.0027105581968297,0.84,43.78,0.6851102590226359,0.5495124951852479,0.6098650727591395,1179,58,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,-0.00011922945175968369,0.003224578627489594,0.0019696168100955536,0.0,1.7815875472100215e-05,0.0799999999999983
43,zero,16,P1_LCV01Z,True,0.598700225353241,401855,8947,50,0.8543169610619783,0.5081368555642618,0.0026876520712227,0.84,43.58,0.6911029751013733,0.5512429326748058,0.6133004155937527,1135,55,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,-0.00079325349819237,-0.003137450023793842,-0.0014657260245176662,0.0,-5.090250134899901e-06,-0.12000000000000455
43,zero,17,P1_PCV01D,False,0.5989952683448792,401855,8947,50,0.8544643521647302,0.5049815091366286,0.0026851069461553,0.84,43.66,0.6878117350889001,0.5500617203830387,0.6112723471534522,1131,57,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,-0.0009406446009442293,1.789640383931257e-05,0.0005623424157827905,0.0,-7.635375202299979e-06,-0.04000000000000625
43,zero,18,P1_PCV01Z,False,0.5998049974441528,401855,8947,50,0.8516370501876327,0.5022140943765989,0.0026800166960204,0.82,48.96,0.692782604452945,0.5494629441516035,0.6128552763619654,1125,53,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.0018866573761532335,0.002785311163869042,-0.0010205867927303158,0.020000000000000018,-1.272562533719988e-05,5.259999999999998
43,zero,19,P1_PCV02Z,False,0.5977333188056946,401855,8947,50,0.84888314052023,0.4976935036922851,0.0026927423213576,0.84,44.18,0.6823529561572137,0.5476349888976606,0.6076162861137153,1174,56,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.0046405670435559765,0.007305901848182861,0.004218403455519715,0.0,0.0,0.4799999999999969
43,zero,20,P2_CO_rpm,True,0.5969296097755432,401855,8947,50,0.8519580747461706,0.4971346709796228,0.0026952874464251,0.84,44.02,0.6798844764584705,0.5354487832119775,0.5990839347935151,1134,62,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.0015656328176153478,0.007864734560845188,0.012750754775719964,0.0,2.5451250675002576e-06,0.3200000000000003
43,zero,21,P3_LCP01D,False,0.6047420501708984,401855,8947,50,0.8550684676249662,0.5024845601069702,0.0026774715709529,0.82,49.06,0.6948646076943243,0.5498313813857441,0.6138982859694209,1122,53,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,-0.001544760061180317,0.002514845433497781,-0.00206359640018583,0.020000000000000018,-1.5270750404700138e-05,5.359999999999999
43,zero,22,P3_LCV01D,False,0.6158369183540344,401855,8947,50,0.8430712680624614,0.4985234825032453,0.0026571105704134,0.84,43.82,0.6921728372275671,0.5485870680478468,0.6120717888167799,1117,53,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.010452439501324573,0.006475923037222664,-0.00023709924754489187,0.0,-3.5631750944199996e-05,0.11999999999999744
43,zero,23,P4_HT_LD,False,0.6119318008422852,401855,8947,50,0.8503230499341909,0.5030471688066077,0.0026647459456157,0.84,43.72,0.690715389252042,0.5491859758242122,0.6118731953163941,1125,53,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.003200657629594983,0.0019522367338602464,-3.850574715902333e-05,0.0,-2.7996375741900018e-05,0.01999999999999602
