seed,mode,channel,feature,reliable_imputer,threshold,rows,attack_rows,events,auroc,auprc,fpr,event_detected_ratio,censored_delay_mean,etap,etar,etaf1,false_alarm_seconds,n_false_alarms
42,zero,10,P1_FCV01Z,False,0.6026859283447266,401855,8947,50,0.845868741270487,0.5029858503542673,0.00268765207122278,0.84,44.22,0.6787831767861541,0.5567104319885641,0.6117161155531222,1303,62
42,zero,11,P1_FCV02D,False,0.5981032848358154,401855,8947,50,0.8487894301644928,0.5065462742914889,0.002690197196290226,0.84,43.92,0.6830540874993841,0.5581793508106383,0.6143351852461622,1308,60
42,zero,12,P1_FCV02Z,False,0.6008651256561279,401855,8947,50,0.8499744069141452,0.5060168893159394,0.00268765207122278,0.84,44.0,0.6799444198995751,0.5584082636660161,0.6132123553239874,1307,62
42,zero,13,P1_FCV03D,True,0.6067966222763062,401855,8947,50,0.8441803713823969,0.5033014624883153,0.0026622008205483215,0.84,43.98,0.6865697459165101,0.5571667634120082,0.6151364703371669,1294,57
42,zero,14,P1_FCV03Z,True,0.607085645198822,401855,8947,50,0.8462088397592205,0.5053175342603281,0.002674926445885551,0.84,44.06,0.6871445926360678,0.5579976128174199,0.615873497295321,1296,57
42,zero,15,P1_LCV01D,True,0.6009847521781921,401855,8947,50,0.8494149864614992,0.5075076520212151,0.0026927423213576715,0.84,43.96,0.6944259402208514,0.5597201872075079,0.6198388030893432,1138,59
42,zero,16,P1_LCV01Z,True,0.6026367545127869,401855,8947,50,0.8500761282835838,0.5089118940172082,0.002697832571492563,0.84,43.92,0.6903657622678075,0.5595126303836855,0.6180895130987409,1144,61
42,zero,17,P1_PCV01D,False,0.6025404930114746,401855,8947,50,0.8471529087723209,0.5053503128472251,0.002682561821087888,0.84,44.04,0.685958028606395,0.5576483238420753,0.6151839673788104,1300,58
42,zero,18,P1_PCV01Z,False,0.6024601459503174,401855,8947,50,0.8500300681194944,0.5051013761003363,0.0026774715709529965,0.84,43.98,0.6836310565703215,0.5571815368440789,0.6139631476273709,1300,59
42,zero,19,P1_PCV02Z,False,0.6003115773200989,401855,8947,50,0.8428498070499353,0.4982472796113314,0.002682561821087888,0.84,44.54,0.6735063982927332,0.553770906203442,0.6077978418569306,1385,58
42,zero,20,P2_CO_rpm,True,0.5991360545158386,401855,8947,50,0.8481527092540869,0.5002322334341133,0.002697832571492563,0.82,46.6,0.6634750919303016,0.5340989003750402,0.5917986183785667,1318,65
42,zero,21,P3_LCP01D,False,0.6080438494682312,401855,8947,50,0.8516818931179942,0.5044134646329151,0.0026647459456157676,0.84,44.06,0.6860120454804962,0.5576269998051305,0.6151927123896502,1295,58
