variant,seed,split_seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate,architecture
F1,45,42,18,0.9384262844575612,0.9771481908219792,1.0,59.0,0.0,tcn
F1,45,42,19,0.9477955204708208,0.9796789350932721,1.0,35.0,0.0,tcn
F1,45,42,20,0.9860554144029863,0.9952959371832931,1.0,43.5,0.0,tcn
F1,45,42,21,0.5019233455254636,0.7080794595621647,0.0,,0.0,tcn
F1,45,42,22,0.5577569254135031,0.7478815309196198,0.0,,0.0,tcn
F1,45,42,23,0.5488066937137179,0.7403251071729394,0.0,,0.0,tcn
F1,45,42,24,0.9683495566329996,0.9882953014366962,1.0,17.5,0.0,tcn
F1,45,42,25,0.9248103131368046,0.9718960916121415,1.0,21.5,0.0,tcn
F1,45,42,26,0.9229825815263956,0.9715719915116776,1.0,32.55,0.0,tcn
F1,45,42,27,0.7908349236111881,0.9080992300274805,1.0,25.9,0.0,tcn
F1,45,42,28,0.5685750124201934,0.7645737383282794,0.0,,0.0,tcn
F0-C,45,42,1,0.9989296166444152,0.9996312467547622,1.0,7.2,0.0,tcn
F0-C,45,42,2,0.9974958239796642,0.9991258011103001,1.0,16.8,0.0,tcn
F0-C,45,42,3,0.5240571994590589,0.7218785485105035,0.0,,0.0,tcn
F0-C,45,42,4,0.5012477116641333,0.7100351859765408,1.0,4.0,0.0,tcn
F0-C,45,42,5,0.4939215265681188,0.7048719915221,0.0,,0.0,tcn
F0-C,45,42,6,0.9995950770421818,0.9998661425186762,1.0,3.0,0.0,tcn
F0-C,45,42,7,0.5116532910738567,0.7221533752229063,1.0,4.0,0.0,tcn
F0-C,45,42,8,0.9918567850005979,0.9972183170179142,1.0,29.35,0.0,tcn
F0-C,45,42,9,0.5259239082865804,0.7255046233604298,0.0,,0.0,tcn
F0-C,45,42,10,0.9596154178054412,0.9853272838693156,1.0,38.85,0.0,tcn
F0-C,45,42,11,0.9381364131714455,0.9764646908479728,1.0,11.7,0.0,tcn
F0-C,45,42,12,0.7983949843376122,0.9144757951650021,1.0,28.25,0.0,tcn
F0-C,45,42,13,0.9887512959531743,0.9962760784152607,1.0,37.55,0.0,tcn
