architecture,seed,condition,mode,channel,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean,original_auroc,original_auprc,original_pre_fpr,delta_auroc,delta_auprc,delta_pre_fpr
gru,46,conditional_XMV_01,conditional,1.0,22,20,0.8468353152275085,0.567712707641196,0.6560179397360523,0.01075,0.0,302.0,0.5675300664451828,0.656049473409075,0.01075,-0.00018264119601318907,3.1533673022776654e-05,0.0
gru,46,conditional_XMV_01,conditional,1.0,23,20,0.8468353152275085,0.5354493563122924,0.6279029079128542,0.00975,0.0,302.0,0.5355757059800664,0.6278469803772752,0.0095,0.00012634966777402834,-5.5927535579036736e-05,0.0002500000000000002
gru,46,conditional_XMV_01,conditional,1.0,24,20,0.8468353152275085,0.9692675249169436,0.9840311016698844,0.01025,1.0,15.5,0.9718053571428572,0.9854357087539476,0.011,0.0025378322259136388,0.001404607084063203,-0.0007499999999999989
gru,46,conditional_XMV_01,conditional,1.0,25,20,0.8468353152275085,0.8842551287375415,0.9313821924888132,0.00775,1.0,33.55,0.8932264742524917,0.9375149328330558,0.00775,0.008971345514950158,0.006132740344242604,0.0
gru,46,conditional_XMV_01,conditional,1.0,26,20,0.8468353152275085,0.9245087209302324,0.9594783381751032,0.01,1.0,29.5,0.9239101951827242,0.959121884148731,0.01025,-0.0005985257475081829,-0.00035645402637218826,-0.0002500000000000002
gru,46,conditional_XMV_01,conditional,1.0,27,20,0.8468353152275085,0.8750323712624585,0.9228208194756408,0.00925,1.0,15.8,0.8750355689368771,0.9227458907556544,0.01,3.197674418586871e-06,-7.492871998637796e-05,-0.0007500000000000007
gru,46,conditional_XMV_01,conditional,1.0,28,20,0.8468353152275085,0.5561889119601329,0.6607823971519527,0.01,0.0,302.0,0.5562675249169435,0.6607830869573832,0.009,7.861295681066416e-05,6.898054304427248e-07,0.0010000000000000009
gru,46,conditional_XMV_02,conditional,2.0,1,20,0.8473880290985107,0.9952514950166113,0.997612967947735,0.0105,1.0,4.05,0.9952463870431894,0.9976134653165624,0.00975,-5.107973421902834e-06,4.973688273457455e-07,0.0007500000000000007
gru,46,conditional_XMV_02,conditional,2.0,2,20,0.8473880290985107,0.9905027823920266,0.9951351168744952,0.0095,1.0,10.2,0.9905171511627908,0.9951476925018228,0.0095,1.4368770764217054e-05,1.257562732759343e-05,0.0
gru,46,conditional_XMV_02,conditional,2.0,3,20,0.8473880290985107,0.5452726744186046,0.6356255140545598,0.009,0.0,302.0,0.5452817898671096,0.6354919040269659,0.00975,9.11544850501489e-06,-0.00013361002759393337,-0.0007500000000000007
gru,46,conditional_XMV_02,conditional,2.0,4,20,0.8473880290985107,0.9757230689368772,0.982936045060108,0.01025,1.0,2.0,0.9766724252491694,0.9837427305784876,0.0105,0.0009493563122922044,0.0008066855183795907,-0.0002500000000000002
gru,46,conditional_XMV_02,conditional,2.0,5,20,0.8473880290985107,0.500834842192691,0.605969369750661,0.01075,0.0,302.0,0.5011724044850498,0.6062131167695718,0.01,0.0003375622923588173,0.00024374701891083372,0.0007499999999999989
gru,46,conditional_XMV_02,conditional,2.0,6,20,0.8473880290985107,0.9979802740863788,0.999056745063229,0.00875,1.0,1.0,0.997984634551495,0.9990578482963844,0.00925,4.3604651162043595e-06,1.1032331554972075e-06,-0.0004999999999999987
gru,46,conditional_XMV_02,conditional,2.0,7,20,0.8473880290985107,0.9966623754152824,0.9983797463963654,0.01225,1.0,2.0,0.996690365448505,0.9983899315191876,0.01175,2.799003322262461e-05,1.018512282224826e-05,0.0005000000000000004
gru,46,conditional_XMV_02,conditional,2.0,8,20,0.8473880290985107,0.9696680024916944,0.985116855203204,0.01025,1.0,22.85,0.9695984634551496,0.9850933078899736,0.0095,-6.953903654483007e-05,-2.3547313230398714e-05,0.0007500000000000007
