architecture,seed,condition,mode,channel,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean
transformer,43,zero_XMV_07,zero,7.0,17,20,0.826835572719574,0.9514903446843854,0.9763640228640078,0.008,1.0,31.2
transformer,43,zero_XMV_07,zero,7.0,18,20,0.826835572719574,0.8904887458471761,0.9408861895369752,0.0095,1.0,58.75
transformer,43,zero_XMV_07,zero,7.0,19,20,0.826835572719574,0.8105386212624585,0.8820016787435174,0.00975,1.0,60.7
transformer,43,zero_XMV_07,zero,7.0,20,20,0.826835572719574,0.9392292358803986,0.9699508299397526,0.0105,1.0,41.55
transformer,43,zero_XMV_07,zero,7.0,21,20,0.826835572719574,0.500952865448505,0.6003231868371797,0.01075,0.0,302.0
transformer,43,zero_XMV_07,zero,7.0,22,20,0.826835572719574,0.5588995016611296,0.6488097961927537,0.01075,0.0,302.0
transformer,43,zero_XMV_07,zero,7.0,23,20,0.826835572719574,0.5375617317275747,0.6303203358238707,0.01025,0.0,302.0
transformer,43,zero_XMV_07,zero,7.0,24,20,0.826835572719574,0.9701826411960132,0.9845733075880904,0.0095,1.0,14.4
transformer,43,zero_XMV_07,zero,7.0,25,20,0.826835572719574,0.9482542981727576,0.9722028568712048,0.008,1.0,20.4
transformer,43,zero_XMV_07,zero,7.0,26,20,0.826835572719574,0.9320981727574752,0.9638525189020216,0.01075,1.0,29.1
transformer,43,zero_XMV_07,zero,7.0,27,20,0.826835572719574,0.7788443936877076,0.8579022469943617,0.01025,1.0,25.15
transformer,43,zero_XMV_07,zero,7.0,28,20,0.826835572719574,0.557653176910299,0.6626119757658091,0.00875,0.0,302.0
transformer,43,zero_XMV_08,zero,8.0,1,20,0.8251381516456604,0.9950227990033222,0.9974936684764768,0.00775,1.0,4.6
transformer,43,zero_XMV_08,zero,8.0,2,20,0.8251381516456604,0.9892470514950166,0.9944688914911884,0.009,1.0,13.55
transformer,43,zero_XMV_08,zero,8.0,3,20,0.8251381516456604,0.5395674003322259,0.6311074193210503,0.01,0.0,302.0
transformer,43,zero_XMV_08,zero,8.0,4,20,0.8251381516456604,0.6381706602990033,0.7136072120168475,0.011,1.0,2.0
transformer,43,zero_XMV_08,zero,8.0,5,20,0.8251381516456604,0.4999442898671096,0.6054260997050186,0.01075,0.05,287.0
transformer,43,zero_XMV_08,zero,8.0,6,20,0.8251381516456604,0.998036669435216,0.9990744434541056,0.00875,1.0,1.0
transformer,43,zero_XMV_08,zero,8.0,7,20,0.8251381516456604,0.9963441445182724,0.998160837827691,0.0105,1.0,2.0
transformer,43,zero_XMV_08,zero,8.0,8,20,0.8251381516456604,0.968288434385382,0.9843906374830196,0.00975,1.0,23.85
transformer,43,zero_XMV_08,zero,8.0,9,20,0.8251381516456604,0.5419057516611295,0.6355869727196204,0.01325,0.0,302.0
transformer,43,zero_XMV_08,zero,8.0,10,20,0.8251381516456604,0.9293222176079734,0.9631977750855494,0.0105,1.0,41.05
transformer,43,zero_XMV_08,zero,8.0,11,20,0.8251381516456604,0.9444272009966778,0.9688547011482956,0.00925,1.0,10.25
transformer,43,zero_XMV_08,zero,8.0,12,20,0.8251381516456604,0.7851917774086379,0.8680266184759682,0.01075,1.0,25.4
transformer,43,zero_XMV_08,zero,8.0,13,20,0.8251381516456604,0.947866465946844,0.974644020717063,0.0105,1.0,34.25
transformer,43,zero_XMV_08,zero,8.0,14,20,0.8251381516456604,0.9902225083056478,0.994410657587334,0.01025,1.0,4.05
transformer,43,zero_XMV_08,zero,8.0,15,20,0.8251381516456604,0.5117033222591362,0.6161442019481576,0.00925,0.0,302.0
transformer,43,zero_XMV_08,zero,8.0,16,20,0.8251381516456604,0.5089635382059801,0.6083201725864442,0.01125,0.0,302.0
transformer,43,zero_XMV_08,zero,8.0,17,20,0.8251381516456604,0.951377657807309,0.9763734966964086,0.008,1.0,31.1
transformer,43,zero_XMV_08,zero,8.0,18,20,0.8251381516456604,0.8899491901993355,0.9405521933006848,0.009,1.0,58.75
transformer,43,zero_XMV_08,zero,8.0,19,20,0.8251381516456604,0.8711189368770764,0.9252434952720624,0.01025,1.0,35.8
transformer,43,zero_XMV_08,zero,8.0,20,20,0.8251381516456604,0.9390916943521594,0.969891795940528,0.0105,1.0,41.55
transformer,43,zero_XMV_08,zero,8.0,21,20,0.8251381516456604,0.5009978405315615,0.6002919643995314,0.01125,0.0,302.0
transformer,43,zero_XMV_08,zero,8.0,22,20,0.8251381516456604,0.559022549833887,0.6492310130666283,0.01,0.0,302.0
transformer,43,zero_XMV_08,zero,8.0,23,20,0.8251381516456604,0.5378839285714285,0.6305640663359376,0.00925,0.0,302.0
transformer,43,zero_XMV_08,zero,8.0,24,20,0.8251381516456604,0.970251245847176,0.9846352259127524,0.0095,1.0,14.5
transformer,43,zero_XMV_08,zero,8.0,25,20,0.8251381516456604,0.9487728820598008,0.9724940515625992,0.008,1.0,20.4
transformer,43,zero_XMV_08,zero,8.0,26,20,0.8251381516456604,0.9319486710963456,0.9638254369389984,0.01025,1.0,28.7
transformer,43,zero_XMV_08,zero,8.0,27,20,0.8251381516456604,0.7780758513289037,0.8573736773299957,0.0095,1.0,25.4
transformer,43,zero_XMV_08,zero,8.0,28,20,0.8251381516456604,0.5572523255813954,0.6619772006340382,0.01,0.0,302.0
transformer,43,zero_XMV_09,zero,9.0,1,20,0.8254401087760925,0.9949997093023256,0.9974806072951838,0.00775,1.0,4.6
transformer,43,zero_XMV_09,zero,9.0,2,20,0.8254401087760925,0.989259011627907,0.9944781703961628,0.00875,1.0,13.35
transformer,43,zero_XMV_09,zero,9.0,3,20,0.8254401087760925,0.5393059593023256,0.6307756732248312,0.01,0.0,302.0
transformer,43,zero_XMV_09,zero,9.0,4,20,0.8254401087760925,0.6381061046511628,0.7135701246808719,0.01125,1.0,2.0
transformer,43,zero_XMV_09,zero,9.0,5,20,0.8254401087760925,0.4998433970099668,0.6052726346358602,0.01075,0.05,287.0
transformer,43,zero_XMV_09,zero,9.0,6,20,0.8254401087760925,0.9980359634551496,0.9990750424686368,0.009,1.0,1.0
transformer,43,zero_XMV_09,zero,9.0,7,20,0.8254401087760925,0.9963411960132892,0.9981607017861,0.01025,1.0,2.0
transformer,43,zero_XMV_09,zero,9.0,8,20,0.8254401087760925,0.968227242524917,0.9843561739614572,0.0095,1.0,23.55
transformer,43,zero_XMV_09,zero,9.0,9,20,0.8254401087760925,0.5415665697674419,0.6353391073199558,0.0135,0.0,302.0
transformer,43,zero_XMV_09,zero,9.0,10,20,0.8254401087760925,0.9289524501661128,0.9629976534304544,0.01025,1.0,41.1
transformer,43,zero_XMV_09,zero,9.0,11,20,0.8254401087760925,0.9444309177740864,0.968857694564203,0.0095,1.0,10.25
transformer,43,zero_XMV_09,zero,9.0,12,20,0.8254401087760925,0.7851166735880398,0.8680065419599263,0.0105,1.0,25.4
transformer,43,zero_XMV_09,zero,9.0,13,20,0.8254401087760925,0.9478607558139536,0.9746395778371502,0.01025,1.0,34.25
transformer,43,zero_XMV_09,zero,9.0,14,20,0.8254401087760925,0.9901679401993356,0.9943825895795376,0.01025,1.0,3.95
transformer,43,zero_XMV_09,zero,9.0,15,20,0.8254401087760925,0.5116884551495017,0.616069689238057,0.00875,0.0,302.0
transformer,43,zero_XMV_09,zero,9.0,16,20,0.8254401087760925,0.5090034676079734,0.6083995892097621,0.011,0.0,302.0
transformer,43,zero_XMV_09,zero,9.0,17,20,0.8254401087760925,0.9513707018272424,0.9763689671966814,0.008,1.0,31.1
transformer,43,zero_XMV_09,zero,9.0,18,20,0.8254401087760925,0.8895898878737541,0.9403471080634604,0.00875,1.0,58.75
transformer,43,zero_XMV_09,zero,9.0,19,20,0.8254401087760925,0.926521719269103,0.95863228958305,0.00975,1.0,33.85
transformer,43,zero_XMV_09,zero,9.0,20,20,0.8254401087760925,0.9391573089700996,0.9699138090881084,0.01025,1.0,41.55
transformer,43,zero_XMV_09,zero,9.0,21,20,0.8254401087760925,0.5007737956810632,0.600234642496422,0.01125,0.0,302.0
transformer,43,zero_XMV_09,zero,9.0,22,20,0.8254401087760925,0.5591129775747509,0.6492965152346157,0.0105,0.0,302.0
transformer,43,zero_XMV_09,zero,9.0,23,20,0.8254401087760925,0.5378924833887043,0.630554796474308,0.00925,0.0,302.0
transformer,43,zero_XMV_09,zero,9.0,24,20,0.8254401087760925,0.9702989410299004,0.9846612905725772,0.0095,1.0,14.5
transformer,43,zero_XMV_09,zero,9.0,25,20,0.8254401087760925,0.9487067483388704,0.9724565890968324,0.0075,1.0,20.4
transformer,43,zero_XMV_09,zero,9.0,26,20,0.8254401087760925,0.9319857558139536,0.9638383464811888,0.0105,1.0,28.7
transformer,43,zero_XMV_09,zero,9.0,27,20,0.8254401087760925,0.7782242109634552,0.8574451892701462,0.00975,1.0,25.15
transformer,43,zero_XMV_09,zero,9.0,28,20,0.8254401087760925,0.5572716777408638,0.6620437790867472,0.0095,0.0,302.0
transformer,43,zero_XMV_10,zero,10.0,1,20,0.8253957629203796,0.9949984219269103,0.9974805202289744,0.00775,1.0,4.6
transformer,43,zero_XMV_10,zero,10.0,2,20,0.8253957629203796,0.9892722591362126,0.9944861131828276,0.00875,1.0,13.35
transformer,43,zero_XMV_10,zero,10.0,3,20,0.8253957629203796,0.5390938953488372,0.630682456044007,0.01,0.0,302.0
transformer,43,zero_XMV_10,zero,10.0,4,20,0.8253957629203796,0.5156351744186046,0.6254169775458625,0.011,1.0,2.0
transformer,43,zero_XMV_10,zero,10.0,5,20,0.8253957629203796,0.4998825581395348,0.6053662061019552,0.0105,0.05,287.0
transformer,43,zero_XMV_10,zero,10.0,6,20,0.8253957629203796,0.9980376661129567,0.9990758764715928,0.009,1.0,1.0
transformer,43,zero_XMV_10,zero,10.0,7,20,0.8253957629203796,0.9963404485049834,0.9981607260096602,0.01025,1.0,2.0
transformer,43,zero_XMV_10,zero,10.0,8,20,0.8253957629203796,0.968230315614618,0.9843564516885432,0.009,1.0,23.7
transformer,43,zero_XMV_10,zero,10.0,9,20,0.8253957629203796,0.5416670888704319,0.6354691636790105,0.01325,0.0,302.0
transformer,43,zero_XMV_10,zero,10.0,10,20,0.8253957629203796,0.9289658637873754,0.9630044586702164,0.01025,1.0,41.1
transformer,43,zero_XMV_10,zero,10.0,11,20,0.8253957629203796,0.9324040282392028,0.96220465345927,0.0095,1.0,10.6
transformer,43,zero_XMV_10,zero,10.0,12,20,0.8253957629203796,0.7852216777408638,0.8680902636298069,0.01025,1.0,25.4
transformer,43,zero_XMV_10,zero,10.0,13,20,0.8253957629203796,0.9478692483388704,0.9746430629642604,0.01025,1.0,34.25
transformer,43,zero_XMV_10,zero,10.0,14,20,0.8253957629203796,0.989121511627907,0.9937339508130534,0.01025,1.0,3.95
transformer,43,zero_XMV_10,zero,10.0,15,20,0.8253957629203796,0.5116126868770764,0.6160381263679663,0.009,0.0,302.0
transformer,43,zero_XMV_10,zero,10.0,16,20,0.8253957629203796,0.5089302740863787,0.6084467024419636,0.01125,0.0,302.0
transformer,43,zero_XMV_10,zero,10.0,17,20,0.8253957629203796,0.9513435631229236,0.9763539673696636,0.00775,1.0,31.2
transformer,43,zero_XMV_10,zero,10.0,18,20,0.8253957629203796,0.8894119601328904,0.9402410894695828,0.009,1.0,58.75
transformer,43,zero_XMV_10,zero,10.0,19,20,0.8253957629203796,0.9265892026578072,0.9586740472742092,0.00975,1.0,33.85
transformer,43,zero_XMV_10,zero,10.0,20,20,0.8253957629203796,0.9391479651162792,0.9699088333394296,0.01,1.0,41.55
transformer,43,zero_XMV_10,zero,10.0,21,20,0.8253957629203796,0.5007317275747508,0.6002531966299873,0.0115,0.0,302.0
transformer,43,zero_XMV_10,zero,10.0,22,20,0.8253957629203796,0.559133492524917,0.6493061933417004,0.01025,0.0,302.0
transformer,43,zero_XMV_10,zero,10.0,23,20,0.8253957629203796,0.5379495224252492,0.6306183927813068,0.00925,0.0,302.0
transformer,43,zero_XMV_10,zero,10.0,24,20,0.8253957629203796,0.970252865448505,0.9846387979715416,0.0095,1.0,14.5
transformer,43,zero_XMV_10,zero,10.0,25,20,0.8253957629203796,0.9487525747508304,0.9724821582821734,0.00825,1.0,20.4
transformer,43,zero_XMV_10,zero,10.0,26,20,0.8253957629203796,0.9319597591362128,0.9638259018062229,0.01025,1.0,28.7
transformer,43,zero_XMV_10,zero,10.0,27,20,0.8253957629203796,0.7686553779069767,0.8511376315120526,0.00975,1.0,30.15
transformer,43,zero_XMV_10,zero,10.0,28,20,0.8253957629203796,0.5572855066445183,0.6620567074968802,0.00925,0.0,302.0
transformer,43,zero_XMV_11,zero,11.0,1,20,0.8256698250770569,0.9950120016611296,0.9974856908620884,0.00775,1.0,4.6
transformer,43,zero_XMV_11,zero,11.0,2,20,0.8256698250770569,0.9892549418604653,0.9944757307886332,0.00875,1.0,13.35
transformer,43,zero_XMV_11,zero,11.0,3,20,0.8256698250770569,0.5391319144518273,0.630636219801136,0.01075,0.0,302.0
transformer,43,zero_XMV_11,zero,11.0,4,20,0.8256698250770569,0.6379891818936877,0.7134274382171161,0.01075,1.0,2.0
transformer,43,zero_XMV_11,zero,11.0,5,20,0.8256698250770569,0.5000490033222591,0.6056306976841157,0.0105,0.05,287.0
transformer,43,zero_XMV_11,zero,11.0,6,20,0.8256698250770569,0.9980327242524916,0.9990741045548236,0.009,1.0,1.0
transformer,43,zero_XMV_11,zero,11.0,7,20,0.8256698250770569,0.996347715946844,0.9981629883465356,0.0105,1.0,2.0
transformer,43,zero_XMV_11,zero,11.0,8,20,0.8256698250770569,0.968202450166113,0.9843472163533256,0.0095,1.0,23.75
transformer,43,zero_XMV_11,zero,11.0,9,20,0.8256698250770569,0.5416877491694352,0.6355323225385836,0.013,0.0,302.0
transformer,43,zero_XMV_11,zero,11.0,10,20,0.8256698250770569,0.9288598837209302,0.9629626609437592,0.0105,1.0,41.1
transformer,43,zero_XMV_11,zero,11.0,11,20,0.8256698250770569,0.9444269933554816,0.9688621047541596,0.0095,1.0,10.3
transformer,43,zero_XMV_11,zero,11.0,12,20,0.8256698250770569,0.784574688538206,0.8676701114094781,0.01075,1.0,25.4
transformer,43,zero_XMV_11,zero,11.0,13,20,0.8256698250770569,0.9478818936877076,0.9746462056068512,0.01,1.0,34.25
transformer,43,zero_XMV_11,zero,11.0,14,20,0.8256698250770569,0.9901771179401994,0.9943887988756006,0.00975,1.0,4.05
transformer,43,zero_XMV_11,zero,11.0,15,20,0.8256698250770569,0.5115515365448505,0.6160613991502676,0.00925,0.0,302.0
transformer,43,zero_XMV_11,zero,11.0,16,20,0.8256698250770569,0.5088715531561462,0.6083528486728329,0.01125,0.0,302.0
transformer,43,zero_XMV_11,zero,11.0,17,20,0.8256698250770569,0.9513947674418604,0.9763776916228044,0.008,1.0,31.2
