architecture,mode,fault_id,channel,run_delta_auroc_mean,run_delta_auroc_ci_low,run_delta_auroc_ci_high,run_delta_auprc_mean,run_delta_auprc_ci_low,run_delta_auprc_ci_high
tcn,conditional,13,1,-0.00011594684385382359,-0.00017541528239200082,-4.9983388704293896e-05,-6.193086034279482e-05,-8.58411658323334e-05,-3.7063656855575066e-05
tcn,conditional,13,2,6.893687707642205e-05,1.8438538206027006e-05,0.00011993355481729553,3.170005915627105e-05,9.953546510217014e-06,5.4459787634070414e-05
tcn,conditional,13,3,0.00020780730897009935,0.00010363787375415332,0.0003064825581395257,7.968342988387889e-05,3.567980066617854e-05,0.00012135761262677067
tcn,conditional,13,4,3.064784053157465e-05,-0.0001384613787375205,0.00019768480066451483,4.924834353508989e-05,-2.220032139193681e-05,0.00012013479630660178
tcn,conditional,13,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,13,6,2.6578073089722486e-06,-4.069767441859612e-05,5.2338039867116145e-05,5.275242267543945e-06,-1.4149069169803797e-05,2.8041710050648752e-05
tcn,conditional,13,7,-1.395348837209709e-05,-4.734634551495587e-05,1.9447674418611715e-05,-5.375476209950047e-06,-1.898107348957642e-05,8.108555465231e-06
tcn,conditional,13,8,-1.5448504983388566e-05,-4.302740863785548e-05,1.578073089703408e-05,-4.627102037895181e-06,-1.710350659574625e-05,9.906192795002734e-06
tcn,conditional,13,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,13,10,-4.584717607973743e-05,-7.625000000000586e-05,-2.0099667774095055e-05,-2.314271106298893e-05,-3.705719118965645e-05,-1.060530932606302e-05
tcn,conditional,13,11,-2.9401993355473444e-05,-7.524916943520699e-05,1.5116279069764372e-05,-1.0656007023831516e-05,-2.8763463485553006e-05,5.815840456565027e-06
tcn,conditional,14,1,-7.57475083056569e-05,-0.00011229235880398411,-4.0523255813954124e-05,-5.163217045237256e-05,-7.331052283975143e-05,-3.088109170700898e-05
tcn,conditional,14,2,-0.00012607973421926766,-0.00016926910299002636,-8.072674418603609e-05,-8.129372863927565e-05,-0.00010717787416482568,-5.4086036150491594e-05
tcn,conditional,14,3,-2.6578073089777996e-06,-4.202657807309812e-05,3.803986710960542e-05,-4.883024451547424e-06,-2.9078773807210716e-05,2.16472631883579e-05
tcn,conditional,14,4,-0.0001282392026578294,-0.00020581395348839523,-5.232142857147389e-05,-7.164031923737046e-05,-0.00011665243072752055,-2.7718312553293937e-05
tcn,conditional,14,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,14,6,-7.840531561463026e-05,-0.00014186046511625394,-1.2607973421946784e-05,-5.891698328799988e-05,-9.532774759752901e-05,-2.070006915951887e-05
tcn,conditional,14,7,-8.471760797340577e-06,-2.7242524916935156e-05,9.302325581390685e-06,-3.170222341757345e-06,-1.324054220793222e-05,7.04036471893224e-06
tcn,conditional,14,8,-7.64119601329938e-06,-2.358803986708649e-05,7.142857142822313e-06,-4.03574775115767e-06,-1.2857470125314379e-05,4.433700255976162e-06
tcn,conditional,14,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,14,10,0.00029593023255813477,0.00018970099667772733,0.0004084177740863812,0.00018909397318039756,0.00012255198320737976,0.00025986379359158886
tcn,conditional,14,11,-1.5946843853831273e-05,-3.588455149503234e-05,3.8289036544820005e-06,-9.247788547707137e-06,-2.05305416858908e-05,1.6621224554677339e-06
tcn,conditional,15,1,0.0003229235880398612,0.00010891611295680827,0.0005391112956810514,0.00021139207168579754,-1.103298970650454e-05,0.00043266781647414374
tcn,conditional,15,2,0.0003137873754152776,-1.3828903654492183e-05,0.0006389244186046476,0.0006099174974264676,0.0002890345124013477,0.0009594617858379625
tcn,conditional,15,3,-0.00011852159468438762,-0.000629999999999999,0.0003678135382059729,0.0005135964847564423,7.993521535319276e-05,0.0009115699283543191
tcn,conditional,15,4,0.0006638704318936883,0.0001552304817275783,0.0012071449335548242,0.000619222152596921,7.226164796723231e-05,0.0011746268726263883
tcn,conditional,15,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,15,6,-6.0963455149506963e-05,-0.0002792400332225988,0.00014487541528238184,5.040244350382528e-05,-0.0001590280631130686,0.0002640841661471493
tcn,conditional,15,7,2.906976744183054e-06,-9.30274086378807e-05,0.00010335963455149495,0.00012507195618918887,-3.007874955152198e-05,0.0002781343737442091
tcn,conditional,15,8,3.629568106311654e-05,-7.061669435217907e-05,0.00013058139534882982,8.789173858677723e-05,-5.804258862903383e-05,0.000236426588232022
tcn,conditional,15,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,15,10,9.219269102991868e-06,-5.797965116279356e-05,7.235049833887143e-05,0.00010256548497614815,3.88907527308624e-06,0.00020403322398380598
tcn,conditional,15,11,0.0002470930232558116,3.95224252491673e-05,0.0004606519933554864,0.00024991377893248236,-5.97450258704346e-06,0.0004923040253465658
tcn,conditional,16,1,-0.000211129568106313,-0.00042367109634550897,1.03239202657804e-05,-0.000176330200237661,-0.0003903185204416423,3.095248341670676e-05
tcn,conditional,16,2,-8.45514950166093e-05,-0.00041762458471760226,0.00022946428571428702,-0.00034553853463378136,-0.0006619649173400228,-4.4900833941648465e-05
tcn,conditional,16,3,0.0007161129568106361,0.00030804194352159717,0.0011399667774086458,0.0001748540757472561,-0.00018123328956677794,0.0005114901621764864
tcn,conditional,16,4,0.0004598837209302326,-0.00014823920265781042,0.0011079173588039878,0.001091162087246894,0.00045806530135142923,0.0017251639113710956
tcn,conditional,16,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,16,6,0.00010681063122923607,-7.012458471760923e-05,0.00028991486710963095,0.00012206675043028636,-8.72047420376301e-05,0.0003245598999095583
