architecture,mode,fault_id,channel,mean_delta_auroc,median_delta_auroc,min_delta_auroc,mean_delta_auprc,positive_auroc_seeds,max_abs_pre_fpr_shift,stable_material_raw,method,r2,std_ratio,wasserstein,ks_statistic,observed_lag1,predicted_lag1,observed_std,imputer_reliable,stable_material,run_delta_auroc_mean,run_delta_auroc_ci_low,run_delta_auroc_ci_high,run_delta_auprc_mean,run_delta_auprc_ci_low,run_delta_auprc_ci_high,run_ci_excludes_zero
gru,conditional,6,8.0,-1.0523255813943422e-05,-1.8272425248433422e-06,-3.048172757480483e-05,-3.7725003418476176e-06,2,0.0009999999999999992,False,legacy_mean,0.2974372147454651,0.5468789935112,0.3615364657126344,0.1433535814285278,0.5001105345716035,0.6359453685855146,0.9983698129653932,False,False,,,,,,,False
gru,conditional,6,9.0,0.0,0.0,0.0,0.0,0,0.0,False,legacy_mean,,,0.0,0.0,,,0.0,False,False,,,,,,,False
gru,conditional,6,10.0,-1.4426910299003558e-05,-1.5905315614572757e-05,-4.28986710964141e-05,-6.242778726694986e-06,2,0.0005000000000000004,False,legacy_mean,0.1901592773672956,0.4344758987426758,0.4539596056210538,0.1942001581192016,0.1148842134756825,0.4754276976683602,1.00121009349823,False,False,,,,,,,False
gru,conditional,6,11.0,6.345514950178987e-06,7.350498338998257e-06,-1.3662790697588356e-05,1.9909039278731557e-06,4,0.0009999999999999992,False,legacy_mean,0.0145931334962615,0.1211393773555755,0.7025116868592033,0.3832193613052368,-0.013847639476689,-0.2776265762891957,0.9969984889030457,False,False,,,,,,,False
gru,conditional,7,1.0,1.1013289036543305e-05,1.2583056478221444e-05,5.730897009947888e-06,3.5701121352094132e-06,5,0.0012499999999999994,False,legacy_mean,0.9735514594657588,0.9860982298851012,0.0107001973907897,0.0037028193473815,0.9716406840851836,0.972594011099527,1.0054640769958496,True,False,,,,,,,False
gru,conditional,7,2.0,5.249169435295187e-06,1.910299003426985e-06,-8.970099667604536e-06,2.3052282005942006e-06,3,0.0007500000000000007,False,legacy_mean,0.9547037280833192,0.976567566394806,0.0173378191583196,0.0056550055742263,0.9528272462470592,0.957772059655812,1.0040563344955444,True,False,,,,,,,False
gru,conditional,7,3.0,-1.9975083056733568e-06,-3.384551495067001e-06,-1.3289036544961164e-05,-8.053603001600961e-07,2,0.0007499999999999989,False,legacy_mean,0.9645213980895376,0.9826198816299438,0.0132580876337276,0.0045016407966613,0.9338504025323758,0.9224820453538722,0.9988558888435364,True,False,,,,,,,False
gru,conditional,7,4.0,-2.1179401993376424e-05,-2.8654485049739442e-05,-3.945182724263141e-05,-8.062330302971431e-06,1,0.0014999999999999996,False,legacy_mean,0.578858077860626,0.7629849314689636,0.188949346998356,0.0666544735431671,0.6053401041017571,0.6451221459408996,0.995981752872467,True,False,,,,,,,False
gru,conditional,7,5.0,0.0,0.0,0.0,0.0,0,0.0,False,legacy_mean,,,0.0,0.0,,,0.0,False,False,,,,,,,False
gru,conditional,7,6.0,-2.8903654484713217e-06,-3.529900331922242e-06,-6.519933554827162e-06,-1.0348842539364965e-06,1,0.0005000000000000004,False,legacy_mean,0.997028398791882,0.99845689535141,0.0014378663426005,0.0010824799537658,0.982810815577105,0.9823900750798902,0.9907699823379515,True,False,,,,,,,False
gru,conditional,7,7.0,2.699335548173032e-06,3.7375415282703273e-06,-5.89700996689313e-06,2.554961175960102e-07,3,0.0007500000000000007,False,legacy_mean,0.7184863700707094,0.8477235436439514,0.1213696854402002,0.0426122844219207,0.8106234837175326,0.886557398930125,0.994693160057068,True,False,,,,,,,False
gru,conditional,7,8.0,1.5033222591442908e-06,4.651162790803021e-06,-1.1669435215799773e-05,1.0692437280912514e-06,3,0.0009999999999999992,False,legacy_mean,0.2974372147454651,0.5468789935112,0.3615364657126344,0.1433535814285278,0.5001105345716035,0.6359453685855146,0.9983698129653932,False,False,,,,,,,False
gru,conditional,7,9.0,0.0,0.0,0.0,0.0,0,0.0,False,legacy_mean,,,0.0,0.0,,,0.0,False,False,,,,,,,False
gru,conditional,7,10.0,3.8745847176002716e-06,7.516611295610431e-06,-1.3787375415241776e-05,2.141732070537472e-06,3,0.0012499999999999994,False,legacy_mean,0.1901592773672956,0.4344758987426758,0.4539596056210538,0.1942001581192016,0.1148842134756825,0.4754276976683602,1.00121009349823,False,False,,,,,,,False
gru,conditional,7,11.0,-8.55481727572993e-06,-6.4784053155353405e-06,-2.5166112956886977e-05,-3.268852861526561e-06,1,0.0005000000000000004,False,legacy_mean,0.0145931334962615,0.1211393773555755,0.7025116868592033,0.3832193613052368,-0.013847639476689,-0.2776265762891957,0.9969984889030457,False,False,,,,,,,False
gru,conditional,8,1.0,-0.00011626661129566784,-0.00012645348837203585,-0.00019933554817275212,-6.420502143922313e-05,0,0.0015000000000000005,False,legacy_mean,0.9735514594657588,0.9860982298851012,0.0107001973907897,0.0037028193473815,0.9716406840851836,0.972594011099527,1.0054640769958496,True,False,,,,,,,False
gru,conditional,8,2.0,1.5236710963484335e-05,3.565199335542335e-05,-6.953903654483007e-05,-5.418143463220559e-07,3,0.0007500000000000007,False,legacy_mean,0.9547037280833192,0.976567566394806,0.0173378191583196,0.0056550055742263,0.9528272462470592,0.957772059655812,1.0040563344955444,True,False,,,,,,,False
