condition,fault_id,group,auroc_loss_mean,auroc_loss_sd,positive_seeds,signflip_p,bh_q_global,bh_q_within_fault,fpr_delta_mean,fpr_delta_ci_low,fpr_delta_ci_high,ci_outside_tolerance,ci_fully_inside_tolerance
occlude_XMV_01,1,NO_GAIN,0.00017901578073098445,6.943815229387595e-05,5,0.0625,0.11824324324324324,0.10416666666666667,-0.0010999999999999998,-0.00275,0.0005499999999999999,False,True
occlude_XMV_01,2,NO_GAIN,0.000680884551495109,9.272486961029766e-05,5,0.0625,0.11824324324324324,0.10416666666666667,-4.9999999999999806e-05,-0.0019,0.0017000000000000001,False,True
occlude_XMV_01,3,GAIN,0.007314833887043149,0.001785001226290232,5,0.0625,0.11824324324324324,0.1171875,0.0016499999999999998,-0.0010512499999999992,0.0046500000000000005,False,True
occlude_XMV_01,4,GAIN,0.012835240863787423,0.011116516920272988,5,0.0625,0.11824324324324324,0.1171875,-0.0018,-0.00335,-0.00035000000000000016,False,True
occlude_XMV_01,5,NO_GAIN,0.0007679651162790901,0.001105662105769563,4,0.25,0.37906137184115524,0.3125,-0.0018500000000000003,-0.0036500000000000005,-5.000000000000013e-05,False,True
occlude_XMV_01,6,NO_GAIN,-6.714285714291002e-05,2.0345497725844137e-05,0,0.0625,0.11824324324324324,0.13392857142857142,4.9999999999999786e-05,-0.0017500000000000003,0.002,False,True
occlude_XMV_01,7,GAIN,-4.8787375415293435e-05,1.676952772868179e-05,0,0.0625,0.11824324324324324,0.13392857142857142,-0.0026499999999999996,-0.0045,-0.0006999999999999999,False,True
occlude_XMV_01,8,NO_GAIN,9.333471760797352e-05,0.00026027036329512754,3,0.5,0.6730769230769231,0.6818181818181818,-0.0003499999999999999,-0.0016999999999999997,0.0010499999999999997,False,True
occlude_XMV_01,9,NO_GAIN,0.008238010797342188,0.0008280907333654812,5,0.0625,0.11824324324324324,0.13392857142857142,-0.0015999999999999996,-0.0036500000000000005,0.0004500000000000002,False,True
occlude_XMV_01,10,NO_GAIN,0.006315739202657755,0.0012983649685273202,5,0.0625,0.11824324324324324,0.08522727272727272,0.005349999999999999,0.002,0.0091,False,False
occlude_XMV_01,11,NO_GAIN,0.002148010797342259,0.0013435264543986765,5,0.0625,0.11824324324324324,0.10416666666666667,-0.0018499999999999999,-0.0034499999999999995,-0.00015000000000000026,False,True
occlude_XMV_01,12,NO_GAIN,0.019491117109634536,0.002465671081564671,5,0.0625,0.11824324324324324,0.1171875,-0.0005999999999999998,-0.0021999999999999997,0.0011499999999999995,False,True
occlude_XMV_01,13,NO_GAIN,0.0011836794019932872,0.0003035569231666011,5,0.0625,0.11824324324324324,0.10416666666666667,-0.0016999999999999997,-0.0032,-0.00015000000000000023,False,True
occlude_XMV_01,14,NO_GAIN,0.00045148671096351123,0.0005171945561959603,5,0.0625,0.11824324324324324,0.13392857142857142,-0.0007500000000000001,-0.0026,0.0010999999999999998,False,True
occlude_XMV_01,15,NO_GAIN,0.0030094186046511597,0.0013110363361010153,5,0.0625,0.11824324324324324,0.1171875,-0.0010999999999999998,-0.0024999999999999996,0.00024999999999999995,False,True
occlude_XMV_01,16,NO_GAIN,0.0026078073089701006,0.0013050913671245445,5,0.0625,0.11824324324324324,0.13392857142857142,0.0010500000000000002,-0.0010000000000000002,0.0031000000000000003,False,True
occlude_XMV_01,17,NO_GAIN,1.2533222591337711e-05,0.0007248081700510692,2,0.9375,1.0,1.0,0.0028,0.0007999999999999998,0.00485,False,True
occlude_XMV_01,18,NO_GAIN,0.006720170265780712,0.0007139014850825327,5,0.0625,0.11824324324324324,0.15625,0.0015000000000000002,-0.0005999999999999996,0.003749999999999999,False,True
occlude_XMV_01,19,GAIN,0.005485390365448506,0.002702454156306967,5,0.0625,0.11824324324324324,0.08522727272727272,0.0025499999999999997,0.0006500000000000001,0.00455,False,True
occlude_XMV_01,20,NO_GAIN,-0.0003312624584717261,0.00032334673308648655,0,0.0625,0.11824324324324324,0.15625,-0.0006000000000000001,-0.00265,0.0014999999999999996,False,True
occlude_XMV_01,21,NO_GAIN,-0.009328629568106307,0.0015466875718158424,0,0.0625,0.11824324324324324,0.13392857142857142,-0.003149999999999999,-0.00485,-0.00165,False,True
occlude_XMV_01,22,NO_GAIN,0.007617915282392041,0.0007283243762433615,5,0.0625,0.11824324324324324,0.09375,-0.00265,-0.0042,-0.0012000000000000001,False,True
occlude_XMV_01,23,NO_GAIN,0.007730319767441873,0.0023055444389840896,5,0.0625,0.11824324324324324,0.10416666666666667,0.0010999999999999998,-0.00075,0.0030499999999999998,False,True
occlude_XMV_01,24,GAIN,0.06615494601328904,0.008862879808808597,5,0.0625,0.11824324324324324,0.1171875,0.0006000000000000001,-0.0012000000000000001,0.0025,False,True
occlude_XMV_01,25,GAIN,0.0084937167774086,0.001599712845431041,5,0.0625,0.11824324324324324,0.13392857142857142,-0.0012499999999999998,-0.003,0.00034999999999999994,False,True
occlude_XMV_01,26,GAIN,0.005273970099667791,0.001483329531908537,5,0.0625,0.11824324324324324,0.09375,-0.00065,-0.0019499999999999997,0.0005999999999999997,False,True
occlude_XMV_01,27,NO_GAIN,0.013792720099667788,0.002738420923245841,5,0.0625,0.11824324324324324,0.09375,0.0005500000000000001,-0.0010499999999999997,0.0022,False,True
occlude_XMV_01,28,NO_GAIN,0.009533143687707657,0.0013234554863432479,5,0.0625,0.11824324324324324,0.09375,0.0021500000000000004,5.000000000000028e-05,0.0044,False,True
occlude_XMV_02,1,NO_GAIN,0.00038156976744188056,7.674016570201499e-05,5,0.0625,0.11824324324324324,0.10416666666666667,0.0026499999999999996,0.00040000000000000034,0.005000000000000001,False,False
occlude_XMV_02,2,NO_GAIN,0.0006182765780731403,0.00016859870208641337,5,0.0625,0.11824324324324324,0.10416666666666667,-0.0003999999999999999,-0.0017999999999999995,0.0009,False,True
occlude_XMV_02,3,GAIN,0.0036324294019933314,0.0013850176371584106,5,0.0625,0.11824324324324324,0.1171875,0.0005000000000000001,-0.0018,0.002801249999999982,False,True
occlude_XMV_02,4,GAIN,0.01090123338870439,0.005203710390700713,5,0.0625,0.11824324324324324,0.1171875,0.00019999999999999987,-0.0015500000000000004,0.0019499999999999997,False,True
occlude_XMV_02,5,NO_GAIN,0.003351021594684411,0.0011513784923693799,5,0.0625,0.11824324324324324,0.20833333333333334,-9.999999999999996e-05,-0.0017500000000000003,0.0016,False,True
occlude_XMV_02,6,NO_GAIN,-6.903654485053145e-05,1.3490817792562528e-05,0,0.0625,0.11824324324324324,0.13392857142857142,0.0001,-0.0012499999999999998,0.00145,False,True
occlude_XMV_02,7,GAIN,-5.6187707641042195e-06,4.369874360053212e-05,3,0.875,1.0,1.0,0.00010000000000000048,-0.0021,0.0024999999999999996,False,True
occlude_XMV_02,8,NO_GAIN,0.0005304983388705109,0.00033290309909408966,5,0.0625,0.11824324324324324,0.15625,-0.0004999999999999996,-0.0021,0.0012000000000000001,False,True
occlude_XMV_02,9,NO_GAIN,0.006427429401993345,0.0018612002424812971,5,0.0625,0.11824324324324324,0.13392857142857142,0.00010000000000000011,-0.0018999999999999996,0.0021,False,True
occlude_XMV_02,10,NO_GAIN,0.008293941029900354,0.0020934053393654836,5,0.0625,0.11824324324324324,0.08522727272727272,0.006900000000000001,0.0025,0.012750000000000001,False,False
occlude_XMV_02,11,NO_GAIN,0.0028032184385382575,0.0015524588368291963,5,0.0625,0.11824324324324324,0.10416666666666667,-0.0011999999999999997,-0.0027,0.0003999999999999999,False,True
occlude_XMV_02,12,NO_GAIN,0.021387578903654458,0.0034130474645201283,5,0.0625,0.11824324324324324,0.1171875,-0.0004999999999999997,-0.0020499999999999997,0.0011000000000000007,False,True
occlude_XMV_02,13,NO_GAIN,0.0013991445182724327,0.0002592087763905298,5,0.0625,0.11824324324324324,0.10416666666666667,-0.0026499999999999996,-0.00445,-0.0008999999999999998,False,True
occlude_XMV_02,14,NO_GAIN,0.0006966112956810378,0.0007949544318013676,5,0.0625,0.11824324324324324,0.13392857142857142,-0.0013000000000000002,-0.0036000000000000003,0.0011999999999999997,False,True
occlude_XMV_02,15,NO_GAIN,0.009068235049833872,0.0013428702840641768,5,0.0625,0.11824324324324324,0.1171875,0.0008,-0.0006499999999999999,0.00225,False,True
occlude_XMV_02,16,NO_GAIN,0.00425540697674418,0.0010824078716706118,5,0.0625,0.11824324324324324,0.13392857142857142,-0.0005499999999999999,-0.002801249999999999,0.0018,False,True
occlude_XMV_02,17,NO_GAIN,0.000671698504983409,0.000631328666495864,4,0.125,0.205078125,0.3125,0.0033,0.0010500000000000002,0.0058000000000000005,False,False
occlude_XMV_02,18,NO_GAIN,0.008632807308970114,0.0013366774687326973,5,0.0625,0.11824324324324324,0.15625,-0.00029999999999999976,-0.0021999999999999997,0.0016000000000000007,False,True
occlude_XMV_02,19,GAIN,0.008296129568106348,0.0030478138499173838,5,0.0625,0.11824324324324324,0.08522727272727272,0.0006999999999999999,-0.0015499999999999997,0.0028499999999999997,False,True
occlude_XMV_02,20,NO_GAIN,0.000443916112956888,0.0003184852445721674,5,0.0625,0.11824324324324324,0.15625,-0.00245,-0.00395,-0.0009999999999999998,False,True
occlude_XMV_02,21,NO_GAIN,-0.012004983388704338,0.0016322706520282234,0,0.0625,0.11824324324324324,0.13392857142857142,-0.00245,-0.00405,-0.00095,False,True
occlude_XMV_02,22,NO_GAIN,0.0033819310631229226,0.0011555324444507138,5,0.0625,0.11824324324324324,0.09375,-0.0009999999999999998,-0.0029,0.0009000000000000001,False,True
occlude_XMV_02,23,NO_GAIN,0.014146524086378709,0.00190164727943681,5,0.0625,0.11824324324324324,0.10416666666666667,0.0043,0.00045000000000000004,0.00885,False,False
occlude_XMV_02,24,GAIN,0.0038899792358803474,0.0005414061312580099,5,0.0625,0.11824324324324324,0.1171875,0.0015,-0.0009999999999999992,0.00425,False,True
occlude_XMV_02,25,GAIN,0.228231823089701,0.01816279601975277,5,0.0625,0.11824324324324324,0.13392857142857142,-0.0015500000000000002,-0.0032,0.00014999999999999996,False,True
occlude_XMV_02,26,GAIN,0.008230402823920336,0.0012394549573534238,5,0.0625,0.11824324324324324,0.09375,-0.00115,-0.00285,0.0005,False,True
occlude_XMV_02,27,NO_GAIN,0.014871719269103,0.00300245031312237,5,0.0625,0.11824324324324324,0.09375,0.0012499999999999998,-0.0014999999999999996,0.0049,False,True
occlude_XMV_02,28,NO_GAIN,0.01239819352159468,0.001316466493858318,5,0.0625,0.11824324324324324,0.09375,0.0032999999999999995,0.0009,0.00605,False,False
occlude_XMV_03,1,NO_GAIN,4.173588039873e-05,2.391887786094257e-05,5,0.0625,0.11824324324324324,0.10416666666666667,0.0004,-0.0010999999999999998,0.0018000000000000002,False,True
occlude_XMV_03,2,NO_GAIN,0.00027294850498349454,3.13492494082224e-05,5,0.0625,0.11824324324324324,0.10416666666666667,-0.00030000000000000003,-0.0013000000000000002,0.0006999999999999999,False,True
occlude_XMV_03,3,GAIN,0.002922105481727555,0.0007267026997235696,5,0.0625,0.11824324324324324,0.1171875,-0.00015000000000000001,-0.00135,0.0010500000000000002,False,True
occlude_XMV_03,4,GAIN,0.006659696843853901,0.003253254598022766,5,0.0625,0.11824324324324324,0.1171875,0.0002000000000000001,-0.0012,0.0016000000000000003,False,True
occlude_XMV_03,5,NO_GAIN,0.0006372591362126201,0.0005754503707137567,4,0.125,0.205078125,0.20833333333333334,-0.00035000000000000005,-0.0013999999999999998,0.0006999999999999999,False,True
occlude_XMV_03,6,NO_GAIN,-8.388704318944562e-05,2.8465449695316035e-05,0,0.0625,0.11824324324324324,0.13392857142857142,0.0005499999999999999,-0.00045000000000000004,0.0016,False,True
occlude_XMV_03,7,GAIN,3.589700996680101e-05,2.1674271944076486e-05,5,0.0625,0.11824324324324324,0.13392857142857142,0.0009000000000000001,-0.0004999999999999999,0.0023,False,True
occlude_XMV_03,8,NO_GAIN,-0.0003349626245847226,0.00020716571670674472,0,0.0625,0.11824324324324324,0.15625,0.0017499999999999998,0.0002999999999999998,0.0031000000000000008,False,True
occlude_XMV_03,9,NO_GAIN,-0.0009575456810631211,0.0006074646382014546,0,0.0625,0.11824324324324324,0.13392857142857142,0.00030000000000000003,-0.0011012499999999991,0.0016,False,True
occlude_XMV_03,10,NO_GAIN,0.0023823380398670492,0.0003713231925024486,5,0.0625,0.11824324324324324,0.08522727272727272,0.00030000000000000003,-0.0008499999999999997,0.0015499999999999995,False,True
occlude_XMV_03,11,NO_GAIN,0.001196420265780751,0.0003580859627469303,5,0.0625,0.11824324324324324,0.10416666666666667,-0.0007999999999999998,-0.00215,0.0005499999999999999,False,True
occlude_XMV_03,12,NO_GAIN,0.005832225913621247,0.0006936334212790703,5,0.0625,0.11824324324324324,0.1171875,0.0006500000000000001,-0.00045,0.0017500000000000003,False,True
occlude_XMV_03,13,NO_GAIN,-0.00023810215946844514,8.901695769564003e-05,0,0.0625,0.11824324324324324,0.10416666666666667,-0.0010500000000000002,-0.0022000000000000006,0.00014999999999999988,False,True
