seed,fault_id,f0_auroc,f0c_auroc,f1_auroc,f0_auprc,f0c_auprc,f1_auprc,f0_detected_run_ratio,f0c_detected_run_ratio,f1_detected_run_ratio,f0_detection_delay,f0c_detection_delay,f1_detection_delay,f0_prefault_fpr,f0c_prefault_fpr,f1_prefault_fpr,f0_threshold,f0c_threshold,f1_threshold,f1_minus_f0_auroc,f1_minus_f0_auprc,f1_minus_f0_detected_run_ratio,f1_minus_f0_detection_delay,f1_minus_f0_prefault_fpr,f1_minus_f0c_auroc,f1_minus_f0c_auprc,f1_minus_f0c_detected_run_ratio,f1_minus_f0c_detection_delay,f1_minus_f0c_prefault_fpr
42,9,0.5334998348083468,0.5313959896644267,0.5430728852694658,0.731802772899758,0.7306107619303471,0.7388139448896264,0.0,0.0,0.0,,,,0.010362694300518135,0.01001727115716753,0.010103626943005182,0.8215875029563904,0.8246080875396729,0.8196030259132385,0.009573050461119004,0.007011171989868337,0.0,,-0.00025906735751295325,0.01167689560503915,0.008203182959279243,0.0,,8.635578583765166e-05
43,9,0.5323686787996238,0.5367171425788883,0.5430723336033108,0.7318227417373938,0.7339592207836989,0.7386080344045691,0.0,0.05,0.0,,122.0,,0.010621761658031088,0.010449050086355785,0.010621761658031088,0.8208165168762207,0.8871942758560181,0.8420192003250122,0.010703654803686957,0.006785292667175313,0.0,,0.0,0.006355191024422502,0.004648813620870218,-0.05,,0.00017271157167530332
44,9,0.5334652647566074,0.532741250698058,0.5421223922216921,0.7326579375190602,0.732104770704786,0.7385172823672324,0.0,0.0,0.0,,,,0.010449050086355785,0.010189982728842832,0.010276338514680483,0.8282229900360107,0.8202648758888245,0.8198217749595642,0.008657127465084735,0.005859344848172188,0.0,,-0.0001727115716753016,0.009381141523634118,0.006412511662446385,0.0,,8.635578583765166e-05
45,9,0.5322585643859123,0.533090446128413,0.545534200836067,0.7318587181556278,0.7321699011078959,0.7412092574900453,0.0,0.0,0.0,,,,0.010362694300518135,0.010276338514680483,0.009412780656303972,0.8191421627998352,0.8209508061408997,0.8455680012702942,0.013275636450154615,0.00935053933441754,0.0,,-0.0009499136442141631,0.012443754707653909,0.009039356382149366,0.0,,-0.0008635578583765114
46,9,0.5331605138939741,0.5329901045268677,0.5443837796589902,0.7324251029244383,0.7323459130485024,0.7394912210849418,0.0,0.0,0.0,,,,0.010362694300518135,0.01070811744386874,0.012089810017271158,0.8233305811882019,0.8199812173843384,0.8454441428184509,0.011223265765016088,0.0070661181605035095,0.0,,0.0017271157167530228,0.011393675132122527,0.007145308036439424,0.0,,0.001381692573402418
42,10,0.9626225931637776,0.9649928160122488,0.95696852667537,0.9864254538490987,0.987389567075223,0.984192863453615,1.0,1.0,1.0,43.95,44.25,45.2,0.010189982728842832,0.010103626943005182,0.010276338514680483,0.8215875029563904,0.8246080875396729,0.8196030259132385,-0.005654066488407605,-0.0022325903954837356,0.0,1.25,8.635578583765166e-05,-0.00802428933687882,-0.0031967036216079547,0.0,0.9500000000000028,0.0001727115716753016
43,10,0.9667046730746235,0.9635128929619726,0.9635323831114957,0.9879834684818672,0.9868066522703111,0.9867154889973803,1.0,1.0,1.0,44.0,41.95,43.95,0.009067357512953367,0.00924006908462867,0.009499136442141624,0.8208165168762207,0.8871942758560181,0.8420192003250122,-0.0031722899631277945,-0.0012679794844869807,0.0,-0.04999999999999716,0.00043177892918825657,1.9490149523071487e-05,-9.116327293079429e-05,0.0,2.0,0.00025906735751295325
44,10,0.9694102134054259,0.9603474264003383,0.9600659410561664,0.9890685439909848,0.9856151755453904,0.9854651969953535,1.0,1.0,1.0,44.0,43.5,42.75,0.010103626943005182,0.009930915371329879,0.009930915371329879,0.8282229900360107,0.8202648758888245,0.8198217749595642,-0.009344272349259497,-0.0036033469956312514,0.0,-1.25,-0.00017271157167530332,-0.00028148534417193893,-0.00014997855003684446,0.0,-0.75,0.0
45,10,0.958724390670863,0.9663049709127085,0.9626698916022234,0.9849795251393388,0.9879274704888459,0.9865101488911212,1.0,1.0,1.0,43.75,43.3,44.35,0.010362694300518135,0.009758203799654577,0.00932642487046632,0.8191421627998352,0.8209508061408997,0.8455680012702942,0.003945500931360368,0.0015306237517823673,0.0,0.6000000000000014,-0.0010362694300518147,-0.003635079310485123,-0.0014173215977246745,0.0,1.0500000000000043,-0.00043177892918825657
46,10,0.9644077201209598,0.9660100298454471,0.9642185787600517,0.9870656598963128,0.9878190850709511,0.9870123134556577,1.0,1.0,1.0,44.05,42.0,43.65,0.010103626943005182,0.010189982728842832,0.010276338514680483,0.8233305811882019,0.8199812173843384,0.8454441428184509,-0.00018914136090808498,-5.3346440655133165e-05,0.0,-0.3999999999999986,0.0001727115716753016,-0.001791451085395468,-0.0008067716152934112,0.0,1.6499999999999986,8.635578583765166e-05
42,11,0.9651086998060847,0.952900306220945,0.9776571724613187,0.9870643353318657,0.9823612876146013,0.9916902048522279,1.0,1.0,1.0,12.35,12.4,11.0,0.00846286701208981,0.009499136442141624,0.00924006908462867,0.8215875029563904,0.8246080875396729,0.8196030259132385,0.012548472655233955,0.004625869520362258,0.0,-1.3499999999999996,0.0007772020725388597,0.024756866240373654,0.009328917237626633,0.0,-1.4000000000000004,-0.00025906735751295325
43,11,0.9596253847794384,0.9746307535081653,0.9842787781734981,0.9849234427789352,0.9906989031176662,0.9942223866625738,1.0,1.0,1.0,12.0,10.8,10.7,0.00924006908462867,0.01001727115716753,0.00932642487046632,0.8208165168762207,0.8871942758560181,0.8420192003250122,0.024653393394059697,0.00929894388363861,0.0,-1.3000000000000007,8.635578583764993e-05,0.009648024665332766,0.003523483544907613,0.0,-0.10000000000000142,-0.0006908462867012098
44,11,0.9627215016660934,0.955096353579173,0.9678081009247034,0.9861823692324437,0.9832206352551829,0.9879827142234019,1.0,1.0,1.0,11.25,12.05,11.15,0.009585492227979275,0.009585492227979275,0.009930915371329879,0.8282229900360107,0.8202648758888245,0.8198217749595642,0.005086599258609992,0.0018003449909581581,0.0,-0.09999999999999964,0.0003454231433506032,0.012711747345530378,0.004762078968219008,0.0,-0.9000000000000004,0.0003454231433506032
45,11,0.9467531241563206,0.9552852545492425,0.9869300456496038,0.9799997284890176,0.9833597104718198,0.9952263599763196,1.0,1.0,1.0,12.85,11.75,10.65,0.010362694300518135,0.010103626943005182,0.009844559585492229,0.8191421627998352,0.8209508061408997,0.8455680012702942,0.040176921493283224,0.015226631487301967,0.0,-2.1999999999999993,-0.0005181347150259065,0.031644791100361336,0.011866649504499782,0.0,-1.0999999999999996,-0.00025906735751295325
46,11,0.9659278069328718,0.9511685491118483,0.9896736663547749,0.9873787154986876,0.981766688450185,0.9962219795762512,1.0,1.0,1.0,11.75,11.8,10.35,0.009930915371329879,0.010276338514680483,0.007944732297063902,0.8233305811882019,0.8199812173843384,0.8454441428184509,0.023745859421903104,0.00884326407756364,0.0,-1.4000000000000004,-0.001986183074265976,0.0385051172429266,0.01445529112606625,0.0,-1.450000000000001,-0.002331606217616581
42,12,0.7987274263756828,0.7849129261235807,0.7836171578652801,0.9152358670023859,0.9086080847009657,0.9080523869100768,1.0,1.0,1.0,25.95,26.3,27.5,0.011398963730569948,0.009930915371329879,0.010362694300518135,0.8215875029563904,0.8246080875396729,0.8196030259132385,-0.015110268510402758,-0.007183480092309069,0.0,1.5500000000000007,-0.001036269430051813,-0.001295768258300578,-0.0005556977908888205,0.0,1.1999999999999993,0.00043177892918825657
43,12,0.7887180233955761,0.8268442076286492,0.8089174430057977,0.910684132043041,0.9292073826196537,0.920042340992323,1.0,1.0,1.0,27.25,23.8,27.65,0.01079447322970639,0.010535405872193437,0.009758203799654577,0.8208165168762207,0.8871942758560181,0.8420192003250122,0.020199419610221647,0.009358208949281965,0.0,0.3999999999999986,-0.001036269430051813,-0.017926764622851477,-0.009165041627330783,0.0,3.849999999999998,-0.0007772020725388597
44,12,0.8083770382369366,0.7868587666840487,0.7932258200717721,0.9201522675393268,0.9097898152634128,0.9127790435831402,1.0,1.0,1.0,25.95,26.1,27.55,0.010880829015544042,0.011053540587219343,0.010621761658031088,0.8282229900360107,0.8202648758888245,0.8198217749595642,-0.015151218165164515,-0.007373223956186559,0.0,1.6000000000000014,-0.00025906735751295325,0.006367053387723365,0.002989228319727366,0.0,1.4499999999999993,-0.00043177892918825483
45,12,0.7820320669050851,0.7860436013506267,0.8055089166509488,0.9072383783434478,0.9092188193265373,0.9187716938944557,1.0,1.0,1.0,27.35,27.35,24.65,0.010362694300518135,0.010535405872193437,0.00932642487046632,0.8191421627998352,0.8209508061408997,0.8455680012702942,0.023476849745863726,0.011533315551007894,0.0,-2.700000000000003,-0.0010362694300518147,0.01946531530032214,0.009552874567918423,0.0,-2.700000000000003,-0.0012089810017271163
