architecture,fault_id,channel,mean_normalized_xmv_ig,sd_normalized_xmv_ig,mean_abs_ig,mean_abs_convergence_delta,mean_delta_auroc,mean_delta_auprc,stable_material,ig_rank,chum_rank
transformer,25,6,0.08840892463922494,0.015711663422823614,0.0028543139342218,0.0039156551007181,0.0002519601328904,0.0001644319450633,False,2.0,6.0
transformer,25,7,0.0187306568026542,0.0013335664885050344,0.00061071270611132,0.0039156551007181,0.0013816071428571,0.0008742462314262,False,6.0,4.0
transformer,25,8,0.006127193942666019,0.000543007567585583,0.00019870513060594002,0.0039156551007181,0.0005087915282392,0.0002965545759925,False,7.0,5.0
transformer,25,9,0.0,0.0,0.0,0.0039156551007181,4.152823929182148e-09,0.0,False,10.0,9.0
transformer,25,10,0.00262069012969726,0.00042686452966845135,8.51346703711862e-05,0.0039156551007181,-6.817275747503793e-05,-4.0475564787589846e-05,False,9.0,11.0
transformer,25,11,0.004159968905150821,0.00028509319067137484,0.0001351566112134,0.0039156551007181,0.000120469269103,7.227648534471331e-05,False,8.0,7.0
transformer,26,1,0.04856219366192812,0.002833166633047605,0.00147013869136566,0.0035034413915127002,-0.0002783139534882,-0.000211504134926,False,4.0,10.0
transformer,26,2,0.06880941912531849,0.0071211626149963935,0.0020853376481681798,0.0035034413915127002,0.0004232101328904,0.0002934931054394,False,3.0,3.0
transformer,26,3,0.04014930725097652,0.0014367991805561214,0.0012179125333204401,0.0035034413915127002,0.0005844601328904,0.0003659646415202,False,5.0,2.0
transformer,26,4,0.703856086730957,0.024300065373200903,0.021377144381403902,0.0035034413915127002,0.3966680024916944,0.3344960050028526,False,1.0,1.0
transformer,26,5,0.0,0.0,0.0,0.0035034413915127002,4.152823951386608e-09,5.900752242382623e-09,False,10.0,7.0
transformer,26,6,0.11638668030500406,0.015381440037536689,0.00352226919494564,0.0035034413915127002,3.259966777413581e-05,6.203078774213999e-06,False,2.0,5.0
