architecture,seed,fault_id,channel,examples,target_samples,integration_steps,mean_abs_ig,normalized_xmv_ig,xmv_rank,mean_anomaly_score,mean_abs_convergence_delta
tcn,44,1,4,100,"620,680,740,800,860",32,0.02832147292792797,0.09306612610816956,3,6.354480266571045,0.007756559178233147
tcn,44,1,5,100,"620,680,740,800,860",32,0.0,0.0,10,6.354480266571045,0.007756559178233147
tcn,44,1,6,100,"620,680,740,800,860",32,0.04265188053250313,0.14015673100948334,2,6.354480266571045,0.007756559178233147
tcn,44,1,7,100,"620,680,740,800,860",32,0.004801344126462936,0.01577751524746418,4,6.354480266571045,0.007756559178233147
tcn,44,1,8,100,"620,680,740,800,860",32,0.0011051996843889356,0.0036317550111562014,7,6.354480266571045,0.007756559178233147
tcn,44,1,9,100,"620,680,740,800,860",32,0.0,0.0,10,6.354480266571045,0.007756559178233147
tcn,44,1,10,100,"620,680,740,800,860",32,0.00033938093110919,0.001115226885303855,8,6.354480266571045,0.007756559178233147
tcn,44,1,11,100,"620,680,740,800,860",32,8.839411020744592e-05,0.00029046853887848556,9,6.354480266571045,0.007756559178233147
tcn,44,4,1,100,"620,680,740,800,860",32,0.00148629245813936,0.09350742399692535,4,0.6847767233848572,0.000824397022370249
tcn,44,4,2,100,"620,680,740,800,860",32,0.0014858716167509556,0.09348094463348389,5,0.6847767233848572,0.000824397022370249
tcn,44,4,3,100,"620,680,740,800,860",32,0.003686618758365512,0.2319370061159134,2,0.6847767233848572,0.000824397022370249
tcn,44,4,4,100,"620,680,740,800,860",32,0.00123622827231884,0.07777508348226547,6,0.6847767233848572,0.000824397022370249
tcn,44,4,5,100,"620,680,740,800,860",32,0.0,0.0,10,0.6847767233848572,0.000824397022370249
tcn,44,4,6,100,"620,680,740,800,860",32,0.00454882625490427,0.28618124127388,1,0.6847767233848572,0.000824397022370249
tcn,44,4,7,100,"620,680,740,800,860",32,0.0002518336405046284,0.01584366150200367,7,0.6847767233848572,0.000824397022370249
tcn,44,4,8,100,"620,680,740,800,860",32,0.00010474625742062926,0.006589923053979874,9,0.6847767233848572,0.000824397022370249
tcn,44,4,9,100,"620,680,740,800,860",32,0.0,0.0,10,0.6847767233848572,0.000824397022370249
tcn,44,4,10,100,"620,680,740,800,860",32,0.0029555473010987043,0.18594296276569366,3,0.6847767233848572,0.000824397022370249
tcn,44,4,11,100,"620,680,740,800,860",32,0.000138950053951703,0.008741793222725391,8,0.6847767233848572,0.000824397022370249
tcn,44,11,1,100,"620,680,740,800,860",32,0.0012971856631338596,0.056444812566041946,6,1.2854633331298828,0.001288239611312747
tcn,44,11,2,100,"620,680,740,800,860",32,0.0014616262633353472,0.06360016763210297,4,1.2854633331298828,0.001288239611312747
tcn,44,11,3,100,"620,680,740,800,860",32,0.0028499546460807323,0.12401089817285538,2,1.2854633331298828,0.001288239611312747
tcn,44,11,4,100,"620,680,740,800,860",32,0.0014291435945779085,0.06218673661351204,5,1.2854633331298828,0.001288239611312747
tcn,44,11,5,100,"620,680,740,800,860",32,0.0,0.0,10,1.2854633331298828,0.001288239611312747
tcn,44,11,6,100,"620,680,740,800,860",32,0.013233977369964123,0.5758538842201233,1,1.2854633331298828,0.001288239611312747
tcn,44,11,7,100,"620,680,740,800,860",32,0.00040032248944044113,0.017419347539544106,7,1.2854633331298828,0.001288239611312747
tcn,44,11,8,100,"620,680,740,800,860",32,9.213151497533545e-05,0.0040089450776577,9,1.2854633331298828,0.001288239611312747
tcn,44,11,9,100,"620,680,740,800,860",32,0.0,0.0,10,1.2854633331298828,0.001288239611312747
tcn,44,11,10,100,"620,680,740,800,860",32,0.0020886242855340242,0.09088291227817535,3,1.2854633331298828,0.001288239611312747
tcn,44,11,11,100,"620,680,740,800,860",32,0.00012851944484282285,0.005592303816229105,8,1.2854633331298828,0.001288239611312747
tcn,44,19,1,100,"620,680,740,800,860",32,0.0014524615835398436,0.04552978277206421,7,1.0235954523086548,0.0021415038499981165
tcn,44,19,2,100,"620,680,740,800,860",32,0.0018545564962550998,0.05813410505652428,5,1.0235954523086548,0.0021415038499981165
tcn,44,19,3,100,"620,680,740,800,860",32,0.0026848269626498222,0.08416029065847397,4,1.0235954523086548,0.0021415038499981165
tcn,44,19,4,100,"620,680,740,800,860",32,0.001631633611395955,0.05114622041583061,6,1.0235954523086548,0.0021415038499981165
tcn,44,19,5,100,"620,680,740,800,860",32,0.0,0.0,10,1.0235954523086548,0.0021415038499981165
tcn,44,19,6,100,"620,680,740,800,860",32,0.005802553612738848,0.18189051747322083,2,1.0235954523086548,0.0021415038499981165
tcn,44,19,7,100,"620,680,740,800,860",32,0.013258591294288635,0.41561219096183777,1,1.0235954523086548,0.0021415038499981165
tcn,44,19,8,100,"620,680,740,800,860",32,0.00498899444937706,0.15638817846775055,3,1.0235954523086548,0.0021415038499981165
tcn,44,19,9,100,"620,680,740,800,860",32,0.0,0.0,10,1.0235954523086548,0.0021415038499981165
tcn,44,19,10,100,"620,680,740,800,860",32,8.560771675547585e-05,0.0026835137978196144,9,1.0235954523086548,0.0021415038499981165
tcn,44,19,11,100,"620,680,740,800,860",32,0.00014212803216651082,0.004455235321074724,8,1.0235954523086548,0.0021415038499981165
