seed,condition,fault_id,run_index,pre_fpr,alarm_delay_censored
42,conditional_XMV_01,2,194,0.025,12
42,conditional_XMV_01,2,195,0.0,10
42,conditional_XMV_01,2,196,0.005,14
42,conditional_XMV_01,2,197,0.005,12
42,conditional_XMV_01,2,198,0.015,10
42,conditional_XMV_01,2,199,0.0,10
42,conditional_XMV_01,3,280,0.01,302
42,conditional_XMV_01,3,281,0.02,302
42,conditional_XMV_01,3,282,0.005,302
42,conditional_XMV_01,3,283,0.015,302
42,conditional_XMV_01,3,284,0.005,302
42,conditional_XMV_01,3,285,0.015,302
42,conditional_XMV_01,3,286,0.015,302
42,conditional_XMV_01,3,287,0.01,302
42,conditional_XMV_01,3,288,0.02,302
42,conditional_XMV_01,3,289,0.005,302
42,conditional_XMV_01,3,290,0.01,302
42,conditional_XMV_01,3,291,0.01,302
42,conditional_XMV_01,3,292,0.015,302
42,conditional_XMV_01,3,293,0.015,302
42,conditional_XMV_01,3,294,0.01,302
42,conditional_XMV_01,3,295,0.0,302
42,conditional_XMV_01,3,296,0.0,302
42,conditional_XMV_01,3,297,0.01,302
42,conditional_XMV_01,3,298,0.01,302
42,conditional_XMV_01,3,299,0.015,302
42,conditional_XMV_01,4,380,0.01,2
42,conditional_XMV_01,4,381,0.01,2
42,conditional_XMV_01,4,382,0.01,2
42,conditional_XMV_01,4,383,0.035,2
42,conditional_XMV_01,4,384,0.0,2
42,conditional_XMV_01,4,385,0.01,2
42,conditional_XMV_01,4,386,0.01,2
42,conditional_XMV_01,4,387,0.01,2
42,conditional_XMV_01,4,388,0.015,2
42,conditional_XMV_01,4,389,0.01,2
42,conditional_XMV_01,4,390,0.005,2
42,conditional_XMV_01,4,391,0.025,2
42,conditional_XMV_01,4,392,0.01,2
42,conditional_XMV_01,4,393,0.01,2
42,conditional_XMV_01,4,394,0.005,2
42,conditional_XMV_01,4,395,0.005,2
42,conditional_XMV_01,4,396,0.0,2
42,conditional_XMV_01,4,397,0.01,2
42,conditional_XMV_01,4,398,0.01,2
42,conditional_XMV_01,4,399,0.02,2
42,conditional_XMV_01,5,480,0.01,302
42,conditional_XMV_01,5,481,0.01,302
42,conditional_XMV_01,5,482,0.02,302
42,conditional_XMV_01,5,483,0.005,302
42,conditional_XMV_01,5,484,0.025,302
42,conditional_XMV_01,5,485,0.02,302
42,conditional_XMV_01,5,486,0.0,302
42,conditional_XMV_01,5,487,0.015,2
42,conditional_XMV_01,5,488,0.0,302
42,conditional_XMV_01,5,489,0.015,302
42,conditional_XMV_01,5,490,0.015,302
42,conditional_XMV_01,5,491,0.01,302
42,conditional_XMV_01,5,492,0.005,302
42,conditional_XMV_01,5,493,0.01,302
42,conditional_XMV_01,5,494,0.02,302
42,conditional_XMV_01,5,495,0.02,302
42,conditional_XMV_01,5,496,0.0,302
42,conditional_XMV_01,5,497,0.015,302
42,conditional_XMV_01,5,498,0.0,302
42,conditional_XMV_01,5,499,0.005,302
42,conditional_XMV_01,6,580,0.015,1
42,conditional_XMV_01,6,581,0.005,1
42,conditional_XMV_01,6,582,0.005,1
42,conditional_XMV_01,6,583,0.0,1
42,conditional_XMV_01,6,584,0.005,1
42,conditional_XMV_01,6,585,0.01,1
42,conditional_XMV_01,6,586,0.005,1
42,conditional_XMV_01,6,587,0.015,1
42,conditional_XMV_01,6,588,0.01,1
42,conditional_XMV_01,6,589,0.0,1
42,conditional_XMV_01,6,590,0.015,1
42,conditional_XMV_01,6,591,0.0,1
42,conditional_XMV_01,6,592,0.015,1
42,conditional_XMV_01,6,593,0.025,1
42,conditional_XMV_01,6,594,0.0,1
42,conditional_XMV_01,6,595,0.005,1
42,conditional_XMV_01,6,596,0.005,1
42,conditional_XMV_01,6,597,0.005,1
42,conditional_XMV_01,6,598,0.0,1
42,conditional_XMV_01,6,599,0.015,1
42,conditional_XMV_01,7,680,0.005,2
42,conditional_XMV_01,7,681,0.0,2
42,conditional_XMV_01,7,682,0.01,2
42,conditional_XMV_01,7,683,0.025,2
42,conditional_XMV_01,7,684,0.02,2
42,conditional_XMV_01,7,685,0.01,2
42,conditional_XMV_01,7,686,0.0,2
42,conditional_XMV_01,7,687,0.02,2
42,conditional_XMV_01,7,688,0.015,2
42,conditional_XMV_01,7,689,0.005,2
42,conditional_XMV_01,7,690,0.01,2
