seed,condition,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean
42,conditional_XMV_07,26,20,0.8196403980255127,0.9223463455149502,0.9580472895086467,0.01,1.0,29.0
42,conditional_XMV_07,27,20,0.8196403980255127,0.8062377076411961,0.877298829573702,0.009,1.0,24.55
42,conditional_XMV_07,28,20,0.8196403980255127,0.5544053363787376,0.6587229964655018,0.009,0.0,302.0
42,conditional_XMV_08,1,20,0.8192927241325378,0.9950399501661129,0.9974999587719714,0.009,1.0,4.45
42,conditional_XMV_08,2,20,0.8192927241325378,0.9897237126245847,0.9947142255528599,0.009,1.0,11.95
42,conditional_XMV_08,3,20,0.8192927241325378,0.5404061669435216,0.6341374259190072,0.011,0.0,302.0
42,conditional_XMV_08,4,20,0.8192927241325378,0.9631553986710963,0.9737280585413975,0.01175,1.0,2.0
42,conditional_XMV_08,5,20,0.8192927241325378,0.5013301287375416,0.6062172858868262,0.0115,0.05,287.0
42,conditional_XMV_08,6,20,0.8192927241325378,0.9979749169435216,0.9990524617562522,0.008,1.0,1.0
42,conditional_XMV_08,7,20,0.8192927241325378,0.996743853820598,0.9984125556543786,0.01125,1.0,2.0
42,conditional_XMV_08,8,20,0.8192927241325378,0.9683076619601328,0.9843454578976374,0.01,1.0,23.25
