architecture,seed,fault_id,auroc_F0,auroc_F0-C,auroc_F1,auprc_F0,auprc_F0-C,auprc_F1,delta_auroc_f0,delta_auroc_f0c,delta_auprc_f0,delta_auprc_f0c
tcn,45,2,0.9975527996903272,0.9974958239796642,0.9977612154653904,0.999146462616932,0.9991258011103,0.9992173271937403,0.00020841577506325315,0.0002653914857262407,7.086457680838265e-05,9.152608344031865e-05
tcn,45,3,0.5249424233122406,0.5240571994590589,0.5424475054211216,0.7221777118905144,0.7218785485105035,0.7343240260141671,0.01750508210888102,0.018390305962062703,0.012146314123652746,0.012445477503663649
tcn,45,4,0.5009059591039708,0.5012477116641333,0.6871687167690486,0.7099245051235593,0.7100351859765408,0.8250556180605976,0.18626275766507772,0.18592100510491527,0.11513111293703826,0.11502043208405677
tcn,45,5,0.4940151464719871,0.4939215265681188,0.4943803926137141,0.7048687581591857,0.7048719915221,0.7049779827334671,0.00036524614172700476,0.0004588660455953075,0.00010922457428141907,0.00010599121136711798
tcn,45,6,0.9996062921993788,0.9995950770421818,0.9995983069088328,0.99987013717908,0.9998661425186762,0.9998677244961398,-7.985290546019819e-06,3.2298666510222063e-06,-2.4126829402115746e-06,1.5819774635827955e-06
tcn,45,7,0.5125184916029631,0.5116532910738567,0.999279191152631,0.7224977332674094,0.7221533752229063,0.9997589692702944,0.48676069954966783,0.48762590007877427,0.277261236002885,0.27760559404738805
tcn,45,8,0.9918808703134572,0.991856785000598,0.9922205394863526,0.9972293576562172,0.9972183170179142,0.997349337280281,0.0003396691728954071,0.0003637544857545416,0.00011997962406373741,0.00013102026236677666
tcn,45,9,0.5270268584369171,0.5259239082865804,0.5403453276034019,0.7262969231326752,0.7255046233604298,0.735323717171543,0.013318469166484825,0.014421419316821504,0.009026794038867747,0.009819093811113233
tcn,45,10,0.9591185792531612,0.9596154178054412,0.959610264812082,0.9851343140702932,0.9853272838693156,0.985373362341641,0.0004916855589207625,-5.1529933592364685e-06,0.00023904827134779705,4.607847232540596e-05
tcn,45,11,0.9395133102558128,0.9381364131714456,0.9519533173319328,0.9770217551045464,0.9764646908479728,0.9816650842779108,0.01244000707612003,0.013816904160487198,0.004643329173364408,0.005200393429937944
tcn,45,12,0.8009447822243919,0.7983949843376122,0.8038418585786861,0.9156418635233218,0.914475795165002,0.9171624263544136,0.002897076354294148,0.005446874241073818,0.0015205628310918096,0.0026866311894115924
tcn,45,13,0.9887539310065966,0.9887512959531743,0.9888362309675176,0.9962766851463448,0.9962760784152608,0.996306522201651,8.229996092101732e-05,8.493501434325701e-05,2.983705530612557e-05,3.0443786390166316e-05
tcn,45,14,0.9966742143226094,0.9965746678599916,0.9963579925022714,0.9987115628939188,0.9986681408196816,0.9985855633694408,-0.00031622182033796964,-0.0002166753577201863,-0.00012599952447800433,-8.257745024076169e-05
tcn,45,15,0.5188863154741432,0.5188936504766519,0.5189221491187519,0.7198209497254534,0.7199847301413929,0.7203768229741838,3.583364460868488e-05,2.8498642099972216e-05,0.0005558732487304097,0.00039209283279095786
tcn,45,16,0.511553864806658,0.5116601268030854,0.5116698533862439,0.7155160289732236,0.7155603364460883,0.7154357129556121,0.0001159885795859461,9.726583158564672e-06,-8.031601761149254e-05,-0.00012462349047615007
tcn,45,17,0.983884876211046,0.9834108901980944,0.9834571315332374,0.9943455556177372,0.9941625788668512,0.9941512997708464,-0.0004277446778085947,4.6241335143082374e-05,-0.00019425584689081177,-1.127909600484589e-05
tcn,45,18,0.936059966419249,0.935408134332866,0.9384262844575612,0.9763672529981354,0.9760834293074284,0.9771481908219792,0.0023663180383121096,0.003018150124695196,0.0007809378238438081,0.001064761514550816
tcn,45,19,0.7733429674584771,0.7723826615333976,0.9477955204708208,0.9022324768576772,0.9017078230481448,0.979678935093272,0.17445255301234375,0.1754128589374232,0.07744645823559482,0.07797111204512719
tcn,45,20,0.9841035733173564,0.9838937059514608,0.9860554144029864,0.9945054985827332,0.9944253783256416,0.9952959371832932,0.0019518410856299573,0.0021617084515256346,0.0007904386005600506,0.0008705588576516377
tcn,45,21,0.501677699989768,0.5018187077081631,0.5019233455254636,0.7081974946743748,0.7082039528853297,0.7080794595621647,0.00024564553569561554,0.00010463781730052357,-0.00011803511221009089,-0.00012449332316499806
